# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       1.396        0.000       10.699      484.637
       1.403      155.100       10.699      484.637
       1.409      160.200       10.699      484.637
       1.415      150.900       10.699      484.637
       1.422        0.000       10.699      484.637
       1.428      173.500       10.699      484.637
       1.433        0.000       10.699      484.637
       1.439      148.800       10.699      484.637
       1.446      150.400       10.699      484.637
       1.453      173.300       10.699      484.637
       1.458      148.400       10.699      484.637
       1.465        0.000       10.699      484.637
       1.472      165.600       10.699      484.637
       1.478      159.400       10.699      484.637
       1.484        0.000       10.699      484.637
       1.491      154.500       10.699      484.637
       1.497      157.000       10.699      484.637
       1.503        0.000       10.699      484.637
       1.509      222.900       10.699      484.637
       1.514        0.000       10.699      484.637
       1.518        0.000       10.699      484.637
       1.523      229.900       10.699      484.637
       1.527        0.000       10.699      484.637
       1.532      149.400       10.699      484.637
       1.538        0.000       10.699      484.637
       1.545      136.800       10.699      484.637
       1.552      164.800       10.699      484.637
       1.558      152.200       10.699      484.637
       1.565        0.000       10.699      484.637
       1.570      170.600       10.699      484.637
       1.576      156.600       10.699      484.637
       1.583        0.000       10.699      484.637
       1.589      146.100       10.699      484.637
       1.596      159.900       10.699      484.637
       1.602        0.000       10.699      484.637
       1.609      157.500       10.699      484.637
       1.615        0.000       10.699      484.637
       1.622      299.000       10.699      484.637
       1.629      142.500       10.699      484.637
       1.636      156.200       10.699      484.637
       1.642      309.800       10.699      484.637
       1.648        0.000       10.699      484.637
       1.655      157.800       10.699      484.637
       1.661      312.200       10.699      484.637
       1.668      156.100       10.699      484.637
       1.674      157.300       10.699      484.637
       1.681      148.500       10.699      484.637
       1.687      309.500       10.699      484.637
       1.694      146.600       10.699      484.637
       1.701      157.400       10.699      484.637
       1.707      155.400       10.699      484.637
       1.713      303.300       10.699      484.637
       1.720      149.900       10.699      484.637
       1.727      306.900       10.699      484.637
       1.733      147.700       10.699      484.637
       1.740      174.900       10.699      484.637
       1.746        0.000       10.699      484.637
       1.752      171.100       10.699      484.637
       1.757        0.000       10.699      484.637
       1.763      154.700       10.699      484.637
       1.769      183.500       10.699      484.637
       1.775      147.900       10.699      484.637
       1.782        0.000       10.699      484.637
       1.788      158.400       10.699      484.637
       1.794      163.500       10.699      484.637
       1.800      159.300       10.699      484.637
       1.807      157.600       10.699      484.637
       1.813        0.000       10.699      484.637
       1.819      158.600       10.699      484.637
       1.825      155.700       10.699      484.637
       1.832        0.000       10.699      484.637
       1.838      161.800       10.699      484.637
       1.844        0.000       10.699      484.637
       1.850      305.400       10.699      484.637
       1.857      163.900       10.699      484.637
       1.863        0.000       10.699      484.637
       1.869      157.900       10.699      484.637
       1.876        0.000       10.699      484.637
       1.881      224.500       10.699      484.637
       1.885        0.000       10.699      484.637
       1.890        0.000       10.699      484.637
       1.894        0.000       10.699      484.637
       1.898      231.200       10.699      484.637
       1.903        0.000       10.699      484.637
       1.907        0.000       10.699      484.637
       1.912      232.300       10.699      484.637
       1.916        0.000       10.699      484.637
       1.920        0.000       10.699      484.637
       1.925        0.000       10.699      484.637
       1.929      228.800       10.699      484.637
       1.934        0.000       10.699      484.637
       1.938      227.600       10.699      484.637
       1.942        0.000       10.699      484.637
       1.947        0.000       10.699      484.637
